เลขที่ T/O,เลขที่ TR,หมายเลขอ้างอิง,PO Number,รหัสสินค้า,สินค้า,จำนวน,Sale Unit,จำนวน,Base Unit,คงเหลือ (Sale Unit),คงเหลือ (Base Unit),วันที่ต้องการให้ขน,เวลาต้องการให้ขน,วันที่ Completed,เวลา Completed,ความสำคัญ,Location Delivery Type,รหัสลูกค้า,ชื่อลูกค้า,รหัสสถานที่ขนต้นทางจริง,สถานที่ขนต้นทางจริง,รหัสสถานที่รับปลายทางจริง,สถานที่รับปลายทางจริง,TiHi,Pallet,Portion Pallet,สถานะ,เหตุผลที่ Rejected,สร้างโดย,วันที่สร้างเอกสาร,เวลาสร้างเอกสาร,Channel,Product List,วันที่ลูกค้าต้องการ,เวลาลูกค้าต้องการ,วันที่ Sale ยืนยัน,เวลา Sale ยืนยัน,หมายเหตุ Plan,ประเภทรถ,Batch,ทะเบียนรถ,พนักงานขับรถ,Engineering Change,PO_Type
TO2505030120,OS-OMSAP-2505030590,CV08-TG6805-0241,,ZS770113,เอส เพลย์ เกรปเบอร์รี่ 359 ซีซี Pack12x1,20,ลัง,0,ขวด,0,0,,,13/05/2025,14:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7573,ศูนย์กระจายสินค้าภูมิภาค สุราษฎร์ธานี,4608G012,CV สิชล-G,150,1,90,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:47:55,,,,,,,
TO2505030121,OS-OMSAP-2505030591,CV08-TG6805-0242,,ZS770106,เอส โคล่า 359 cc Pack12x1,20,ลัง,0,ขวด,0,0,,,13/05/2025,15:00,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,150,1,90,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:04,,,,,,,
TO2505030121,OS-OMSAP-2505030591,CV08-TG6805-0242,,ZS709402,น้ำดื่มคริสตัล 1.5Ltr 6NR,50,ลัง,0,ขวด,0,0,,,13/05/2025,15:00,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,17,17,11,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:04,,,,,,,
TO2505030121,OS-OMSAP-2505030591,CV08-TG6805-0242,,ZS712106,est cola 1.6Ltr 12NR,10,ลัง,0,ขวด,0,0,,,13/05/2025,15:00,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,3,40,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:04,,,,,,,
TO2505030121,OS-OMSAP-2505030591,CV08-TG6805-0242,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,250,ลัง,0,ขวด,0,0,,,13/05/2025,15:00,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,10,300,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:04,,,,,,,
TO2505030121,OS-OMSAP-2505030591,CV08-TG6805-0242,,319900232,แรงเยอร์ 150 ซีซี,5,กล่อง,0,ขวด,0,0,,,13/05/2025,15:00,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G019,CV เมืองนราธิวาส-G,80,3,10,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:04,,,,,,,
TO2505030122,OS-OMSAP-2505030592,CV08-TG6805-0244,,ZS719402,น้ำคริสตัล 350 ซีซี.,125,ลัง,0,ขวด,0,0,,,13/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G021,CV เมืองยะลา-G,17,88,4,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:21,,,,,,,
TO2505030122,OS-OMSAP-2505030592,CV08-TG6805-0244,,ZS770108,เอส ครีมโซดา 359 ซีซี Pack12x1,10,ลัง,0,ขวด,0,0,,,13/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G021,CV เมืองยะลา-G,13,9,3,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:21,,,,,,,
TO2505030122,OS-OMSAP-2505030592,CV08-TG6805-0244,,ZS709402,น้ำดื่มคริสตัล 1.5Ltr 6NR,112,ลัง,0,ขวด,0,0,,,13/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G021,CV เมืองยะลา-G,17,39,9,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:21,,,,,,,
TO2505030122,OS-OMSAP-2505030592,CV08-TG6805-0244,,ZS725402,น้ำดื่มคริสตัล 600cc 12NR,200,ลัง,0,ขวด,0,0,,,13/05/2025,15:30,NORMAL,WAREHOUSE_TO_CUSTOMER,1006495,บริษัท แคชแวน แมนเนจเม้นท์. จำกัด,7587,ศูนย์กระจายสินค้าภูมิภาค หาดใหญ่,4608G021,CV เมืองยะลา-G,10,240,0,DELIVERY_COMPLETED,,OMSAP,03/05/2025,11:50,CV,C,13/05/2025,15:00,03/05/2025,11:48:21,,,,,,,
